Time,s,t,t_ref,e_t,devang,psi_ref,e_psi,yawrate,v,delta_cmd_logged,applied_delta_cmd,applied_delta_rate,steer_manual
0.073,8.39999698399995,-8.08642620482199e-08,4.72016185363139e-06,-4.80102611567961e-06,-4.2914233047857e-08,2.23416278708452e-05,-2.23845421038931e-05,-1.84469497636778e-06,6.6693001512428e-06,1.00715000694996e-05,1.00715000694996e-05,-3.96480185612351e-05,1.29042422963525e-14
0.074,8.39999698399995,-8.18450493985678e-08,4.72016185363139e-06,-4.80200690302996e-06,-4.47589280242248e-08,2.23416278708452e-05,-2.23863867988695e-05,-1.89071189777786e-06,6.78605321216866e-06,1.00318520509384e-05,1.00318520509384e-05,-3.96480185612346e-05,1.33358224935455e-14
0.075,8.39999698399995,-8.28580373302553e-08,4.72016185363139e-06,-4.80301989096164e-06,-4.66496399220026e-08,2.23416278708452e-05,-2.23882775107672e-05,-1.93389044410526e-06,6.90383835190625e-06,9.99220403237716e-06,9.99220403237716e-06,-3.96480185612363e-05,1.37724752983299e-14
0.076,8.39999698399995,-8.38953633758776e-08,4.72016185363139e-06,-4.80405721700726e-06,-4.85835303661079e-08,2.23416278708452e-05,-2.23902114012113e-05,-1.97312140057768e-06,7.02345017519918e-06,9.95255601381592e-06,9.95255601381592e-06,-3.96480185612346e-05,1.42151357459546e-14
0.077,8.39999698399995,-8.49454332740128e-08,4.72016185363139e-06,-4.8051072869054e-06,-5.05566517666856e-08,2.23416278708452e-05,-2.23921845226119e-05,-2.00878303275668e-06,7.14446777192889e-06,9.91290799525468e-06,9.91290799525468e-06,-3.9648018561238e-05,1.46633235452729e-14
0.078,8.39999698399995,-8.59988173721623e-08,4.72016185363139e-06,-4.80616067100355e-06,-5.25654347994422e-08,2.23416278708452e-05,-2.23941933056447e-05,-2.0468642630669e-06,7.26198831718349e-06,9.87325997669345e-06,9.87325997669345e-06,-3.96480185612346e-05,1.51165086893552e-14
0.079,8.39999688199615,-8.70662987292546e-08,4.72016056348736e-06,-4.80722686221661e-06,-5.46122990625092e-08,2.23416220492845e-05,-2.2396234348347e-05,-2.08935772053525e-06,7.37459487611292e-06,9.83361195813221e-06,9.83361195813221e-06,-3.96480185612346e-05,1.55748940426816e-14
0.08,8.39999688199615,-8.81647437457622e-08,4.72016056348736e-06,-4.80832530723312e-06,-5.67016567830444e-08,2.23416220492845e-05,-2.23983237060676e-05,-2.13135249640269e-06,7.48622040754588e-06,9.79396393957098e-06,9.79396393957098e-06,-3.96480185612363e-05,1.60386451909219e-14
0.081,8.39999688199615,-8.92939068359328e-08,4.72016056348736e-06,-4.80945447032329e-06,-5.88330092794471e-08,2.23416220492845e-05,-2.2400455058564e-05,-2.16903441007626e-06,7.5997814517883e-06,9.75884239372688e-06,9.75884239372688e-06,-3.51215458441026e-05,1.65070930424451e-14
0.082,8.39999688199615,-9.04406846287768e-08,4.72016056348736e-06,-4.81060124811613e-06,-6.10020436895233e-08,2.23416220492845e-05,-2.2402624092974e-05,-2.20363240284373e-06,7.7142112173869e-06,9.72372084788277e-06,9.72372084788277e-06,-3.51215458441009e-05,1.69790250150587e-14
0.083,8.39999688199615,-9.15967844347976e-08,4.72016056348736e-06,-4.81175734792216e-06,-6.32056760923671e-08,2.23416220492845e-05,-2.24048277253769e-05,-2.24041523422432e-06,7.82532913940092e-06,9.68859930203867e-06,9.68859930203867e-06,-3.51215458441026e-05,1.74528469336551e-14
0.084,8.39999688199615,-9.27722047070191e-08,4.72016056348736e-06,-4.81293276819438e-06,-6.54460913265914e-08,2.23416220492845e-05,-2.24070681406111e-05,-2.28042282259389e-06,7.93224781487641e-06,9.65347775619457e-06,9.65347775619457e-06,-3.51215458440992e-05,1.79271970469723e-14
0.085,8.39999688199615,-9.39797846911923e-08,4.72016056348736e-06,-4.81414034817855e-06,-6.77265141491853e-08,2.23416220492845e-05,-2.24093485634337e-05,-2.31959351821246e-06,8.03821614111393e-06,9.61835621035047e-06,9.61835621035047e-06,-3.51215458441026e-05,1.84016276190198e-14
0.086,8.39999688199615,-9.52180138720624e-08,4.72016056348736e-06,-4.81537857735942e-06,-7.00461076673977e-08,2.23416220492845e-05,-2.24116681569519e-05,-2.35478690095001e-06,8.14566933903977e-06,9.58323466450637e-06,9.58323466450637e-06,-3.51215458441026e-05,1.88761051021967e-14
0.087,8.39999688199615,-9.64748701148077e-08,4.72016056348736e-06,-4.81663543360217e-06,-7.24008945683478e-08,2.23416220492845e-05,-2.24140229438529e-05,-2.38807543520773e-06,8.25295502864973e-06,9.54811311866227e-06,9.54811311866227e-06,-3.51215458441009e-05,1.93509989807345e-14
